序号,省份,地市,区县,生产经营场所地址,污水处理厂名称,运营单位,排污许可证编号,"设计处理能力
（万吨/日）","2019年实际处理
水量（万吨）"
493,河北省,沧州市,青县,王牌庄村东1000米,青县河东污水处理厂,"青县紫光龙世杰水务
有限公司",91130922575539699k001U,2,719.04
494,河北省,邢台市,清河县,天山路北,"清河县碧蓝污水处理
厂","清河县碧蓝污水处理
厂",91130534684309139K001V,2.2,732.74
495,河北省,邢台市,清河县,"开发区西区，漓江街
南侧，丰收渠西侧","清河经济开发区污水
处理厂","清河县中持水务有限
公司",91130534557651150F001Q,2,652.57
496,河北省,保定市,清苑区,清苑镇北大冉村,"清苑县祥太水务有限
责任公司","天津润田环境科技有
限公司（临时接管）",91130608689291513E001V,6,1388.53
497,河北省,邯郸市,邱县,"新马头镇经济开发区
发展大道中段西侧",邱县污水处理厂,邱县污水处理厂,911304307666379370001U,5,689.4
498,河北省,邯郸市,曲周县,凤城路东段路北,曲周县污水处理公司,曲周县污水处理公司,1213043568138722XH001V,3,600.98
499,河北省,衡水市,饶阳县,故城村西1.5公里处,饶阳县污水处理厂,"饶阳嘉阳环保有限公
司",911311246799236525001U,3,440.02
500,河北省,衡水市,饶阳县,"王同岳镇崔池村村南
510米处","饶阳县第二污水处理
厂","饶阳县美自然环境科
技有限公司",91131124MA07Q1RU5G001U,1.5,211.46
501,河北省,衡水市,饶阳县,"王同岳乡马长屯村创
业路5号","饶阳县兴业净水服务
中心","河北润扬环保科技有
限公司",91131124319823236P001Q,0.12,0.17
502,河北省,沧州市,任丘市,经济开发区南区,"任丘中持水务有限公
司","任丘碧蓝污水处理有
限公司",91130982MA0E5GWQ7W001V,1,16.7
503,河北省,沧州市,任丘市,"雁翎工业园区北区北
京道路东","任丘市北辛庄乡污水
处理厂","任丘市北辛庄乡污水
处理厂",91130982056542669U001U,0.3,51
504,河北省,沧州市,任丘市,北环路东北角,"任丘市城东污水处理
厂","任丘中持环境发展有
限公司",91130982777743161W001V,5,1658
505,河北省,邢台市,任泽区,澧洺路北头路西,新源污水处理厂,"中持水务股份有限公
司",91130526055460012F001U,2,357
506,河北省,廊坊市,三河市,南外路20号,"三河市南城污水处理
厂","三河市鼎盛水业发展
有限公司",91131082721620533D001X,1,325.04
507,河北省,廊坊市,三河市,东环路泃河北岸,"三河市北城污水处理
厂","三河市金桥水业有限
责任公司",91131082780837716M001V,0.5,155.34
508,河北省,廊坊市,三河市,"燕郊高新区京秦铁路
南侧，东柳河屯村东
侧","燕郊南5万吨污水处
理厂","三河市金桥污水处理
有限公司",91131082398995676Y001X,5,1999.81
509,河北省,廊坊市,三河市,"经济开发区绿带西路
东侧、红娘港北侧","三河市绿水环保科技
有限公司","三河市绿水环保科技
有限公司",91131082MA0CEM0K8E001V,4,40.49
510,河北省,邢台市,沙河市,白塔镇下元村南,"沙河市白塔污水处理
有限公司","沙河市嘉诚环境工程
有限公司",91130582052662348A001X,0.8,0.21
511,河北省,邢台市,沙河市,"桥东办事处大杜村村
东北","沙河市新环污水处理
厂","沙河市嘉诚环境工程
有限公司",hb130500500000032N001Y,5,1783.51
512,河北省,邢台市,沙河市,田村西北,沙河市污水处理厂,"沙河市嘉诚环境工程
有限公司",12130582669069229F001Q,5,1811
513,河北省,唐山市,乐亭县,经济技术开发区,"河北乐亭经济技术开
发区污水处理厂","厦门水务乐亭城建投
资有限公司",911302255935996527001W,4,383.42
514,河北省,"张家口
市",尚义县,"南壕堑镇菜园街西2
公里",尚义县利通排水中心,尚义县利通排水中心,1213072556198912XA001U,0.75,246.38
515,河北省,邯郸市,涉县,"井店镇镇区南部，东
枯河东岸、平乐路北
侧","涉县井元污水处理有
限公司","涉县井元污水处理有
限公司",91130426590991843B001V,2.5,190.45
516,河北省,邯郸市,涉县,寨上村,涉县清漳污水处理厂,涉县清漳污水处理厂,91130426780842080B001Q,2.5,870.59
517,河北省,"石家庄
市",深泽县,"北封庄村东500米处
滹沱河北大堤北","深泽县城区污水处理
厂","深泽县嘉诚水质净化
有限公司",91130128573890071W001Q,4,560.91
518,河北省,衡水市,深州市,"城关支渠南侧，黄河
东路以北，顺达大街
以西","深州嘉诚水质净化有
限公司","深州嘉诚水质净化有
限公司",91131182697586207A001U,5,1051
519,河北省,"石家庄
市","高新技
术产业
开发区",泰山街6号,"石家庄高新技术产业
开发区污水处理厂","石家庄高新技术产业
开发区污水处理厂",91130101734389422E001U,10,2622.8
520,河北省,"石家庄
市","经济技
术开发
区",丰产路28号,"石家庄经济技术开发
区污水处理厂","石家庄经济技术开发
区污水处理厂",91130182700827295Y001Q,10,2287.4
521,河北省,"石家庄
市",藁城区,南孟镇贤庄村村西,森旺污水处理站,"石家庄森旺物业管理
有限公司",91130182MA0A64907M001U,0.2,0.2
522,河北省,"石家庄
市",藁城区,"岗上镇台西村西500
米","藁城市岗上镇小丰村
（一期）生活污水处
理站","石家庄市藁城区岗上
镇人民政府",11130182000739139U001Q,0.3,0.2
523,河北省,"石家庄
市",藁城区,振兴北街15号,"石家庄市藁城区振兴
污水处理厂","石家庄市藁城区振兴
污水处理厂",91130182MA07Q2MHXL001Q,10,10
524,河北省,"石家庄
市","井陉矿
区",平涉公路东侧,"石家庄市矿区绿洁污
水处理有限公司","石家庄市矿区绿洁污
水处理有限公司",91130107688246585T001U,2,695
525,河北省,"石家庄
市",栾城区,西南外环前彪冢村南,"石家庄市栾城区污水
处理厂","石家庄市栾城区污水
处理厂",12130124745429629B001U,6,972.74
526,河北省,"石家庄
市",栾城区,孟家园村南侧,"石家庄市栾城区城东
污水处理厂","石家庄市栾城区污水
处理中心",121301240813284964001Q,1,14
527,河北省,"石家庄
市",栾城区,楼底镇楼底村西南,"石家庄市桥东污水治
理工程筹建处","石家庄市桥东污水治
理工程筹建处",121301004048999723001U,60,19671.71
528,河北省,"石家庄
市",鹿泉区,开发区翠屏路25号,"石家庄污水处理有限
公司西北污水处理厂","石家庄污水处理有限
公司西北污水处理厂",91130185093285315X001V,3,1004.48
529,河北省,"石家庄
市",鹿泉区,上庄镇大宋楼村南,"石家庄西部上庄污水
处理厂","石家庄西部上庄污水
处理厂",91130185682777203G001Q,5,1148
530,河北省,"石家庄
市",栾城区,装备制造基地,"石家庄装备制造基地
绿源污水处理有限公
司","石家庄装备制造基地
绿源污水处理有限公
司",121301246843054020001W,1,112.57
531,河北省,保定市,顺平县,王家关村东,"顺平县清源污水处理
有限公司","顺平县清源污水处理
有限公司",91130636681390373L001W,4,991.25
532,河北省,沧州市,肃宁县,尚村镇,"肃宁县第一污水处理
有限公司","肃宁县中持环保设施
运营有限公司",91130926772763868P001T,2,190.6
533,河北省,唐山市,滦州市,工业聚集区,"唐钢威立雅（唐山）
水务有限责任公司","唐钢威立雅（唐山）
水务有限责任公司",91130200094405964G001U,0.768,165.03
534,河北省,唐山市,"曹妃甸
区",中日产业园区,"唐山曹妃甸城市排水
有限公司北区污水处
理厂","唐山曹妃甸城市排水
有限公司北区污水处
理厂",91130230551878573A002U,4,354.36
535,河北省,唐山市,"曹妃甸
区",装备制造园区,"唐山曹妃甸城市排水
有限公司装备造区污
水处理站","唐山曹妃甸城市排水
有限公司装备造区污
水处理站",91130230551878573A001Y,0.05,10.97
536,河北省,唐山市,路北区,裕华桥西侧,"唐山城市排水有限公
司北郊污水处理厂","唐山城市排水有限公
司",91130200700623778W003W,15,3105.79
537,河北省,唐山市,开平区,路南区胜利桥东,"唐山城市排水有限公
司东郊污水处理厂","唐山城市排水有限公
司东郊污水处理厂",91130200700623778W002W,15,3966
538,河北省,唐山市,古冶区,"大庄坨乡杜军庄北机
场劳服以南","唐山城市排水有限公
司古冶运营分公司","唐山城市排水有限公
司古冶运营分公司",91130204060483323H001U,4,1264.94
539,河北省,唐山市,路北区,"西电路果园乡谢家庄
村","唐山城市排水有限公
司西郊污水处理厂","唐山城市排水有限公
司",91130200700623778W001Z,12,4266.65
540,河北省,唐山市,"海港经
济开发
区",港兴大街东段,"唐山海港开发区水务
有限公司","唐山海港开发区水务
有限公司",91130294772788838K001Y,5,546
541,河北省,唐山市,古冶区,唐家庄大城镇,"唐山宏源污水处理有
限责任公司","唐山宏源污水处理有
限责任公司",911302007524398093001Y,4,1168
542,河北省,唐山市,丰南区,"经济开发区（临港经
济园）金茂路1号","唐山市丰南城南污水
处理有限公司","唐山市丰南城南污水
处理有限公司",9113028268929532X2001W,2,447.86
543,河北省,唐山市,丰南区,"黄各庄镇惠达工业园
区","唐山市丰南区惠众污
水处理有限公司","唐山市丰南区惠众污
水处理有限公司",911302826843254460001Q,2,283.49
544,河北省,唐山市,丰南区,朝阳路南侧,"唐山市丰南区利源污
水处理有限公司","唐山市丰南区利源污
水处理有限公司",91130282754011427R001Q,5,468
545,河北省,唐山市,丰南区,"钱营镇康乾大街11
号402房间","唐山市丰南区钱营物
业服务有限公司","唐山市丰南区钱营物
业服务有限公司",91130282MA0CKF0752001Q,0.3,73
546,河北省,唐山市,丰南区,小集镇政府院内,"唐山市丰南区瑞源污
水处理有限公司","唐山市丰南区瑞源污
水处理有限公司",91130282590978884E001Z,2,264.38
547,河北省,唐山市,丰南区,"经济开发区原西南环
收费站东南200米","唐山市丰南区西城区
污水处理有限公司","唐山市丰南区西城区
污水处理有限公司",91130282595436478P001Z,3.5,216
548,河北省,唐山市,丰润区,丰润镇老魏庄子村西,"唐山市唐排润丰水净
化有限公司","唐山市唐排润丰水净
化有限公司",91130200700623778W004V,12,3585.61
549,河北省,唐山市,"汉沽管
理区",振兴路3号,"唐山市汉沽管理区污
水处理厂","唐山市汉沽管理区污
水处理厂",91130297MA07TRJKX8001Q,0.2,56
550,河北省,唐山市,古冶区,"汇丰焦化厂南侧林吕
铁路东侧",南部园区污水处理厂,"唐山市嘉清环境工程
有限公司",91130204MA09AHAC8B001Q,1,18.96
551,河北省,唐山市,路北区,韩城镇西,"唐山市路北区韩城污
水处理有限公司","唐山城市排水有限公
司韩城运营分公司",91130203682788447p001Q,2,568.37
552,河北省,唐山市,"曹妃甸
区","南堡开发区荣华道北
侧","南堡经济技术开发区
污水处理厂","唐山市南堡经济技术
开发区污水处理厂",91130295601238989C001Y,14,4223.49
553,河北省,唐山市,迁西县,"县城东北部，白龙山
村西","唐山旭成水质净化有
限公司","唐山旭成水质净化有
限公司",91130200777716227J001U,2,549
554,河北省,唐山市,玉田县,陈家铺村村东,"玉田县农业科技园污
水处理厂","唐山玉田北控水务有
限公司",91130200MA07WTUD4X001V,1,51.11
555,河北省,唐山市,玉田县,城南环路南侧,"唐山市玉田县污水处
理厂","唐山域银水业有限公
司",91130229754022062Y001Y,4,1435
556,河北省,保定市,望都县,"高岭乡曹家村南、望
都县经济开发区","望都县清源污水处理
有限公司","望都县清源污水处理
有限公司",9113063168135599X6001X,3.5,559.06
557,河北省,邢台市,威县,第什营化工园区,威县绿源污水处理厂,"河北利江生物科技有
限公司",911305335999248074001V,0.3,6.25
558,河北省,邢台市,威县,开发区晨光大街西侧,威县清源污水处理厂,"河北海鹰环境安全科
技股份有限公司",hb130500600000031X001U,2,390
559,河北省,承德市,"围场满
族蒙古
族自治
县",四合永镇雷字村,"围场满族蒙古族自治
县鑫汇污水净化处理
中心","围场满族蒙古族自治
县永澄环保科技有限
责任公司（鑫汇）",91130828681378999D001U,5,879.43
560,河北省,承德市,"围场满
族蒙古
族自治
县","四合永镇营字村13
组","围场满族蒙古族自治
县天澄污水处理有限
公司","围场满族蒙古族自治
县永澄环保科技有限
责任公司（天澄）",91130828MA0EH0H19T001Q,0.5,50.6
561,河北省,"张家口
市",蔚县,"蔚州镇北环路北仰庄
西侧","蔚县清润污水处理有
限公司","张家口龙源环保技术
服务有限公司蔚县分
公司",91130726MA07NYCR9J001V,1.5,339.36
562,河北省,"张家口
市",蔚县,"西合营镇东关村北
500米处","蔚县西合营镇为民供
水站","河北新源环境科技有
限公司",91130726402096658B001Q,0.5,77.09
563,河北省,邯郸市,魏县,"经济开发区创业大街
南段","魏县开发区污水处理
有限公司","魏县开发区污水处理
有限公司",91130434MA08638H5X001V,1.5,452.6
564,河北省,邯郸市,魏县,城东1.5公里,"魏县污水处理有限公
司","魏县污水处理有限公
司",91130434687006811G001U,3,945
565,河北省,廊坊市,文安县,经济开发区,"文安县经济开发区污
水处理厂","文安鼎泰园区建设发
展有限公司",91131026573895905K001V,0.1,8.43
566,河北省,廊坊市,文安县,新桥农场西南,"文安县德新污水处理
厂","文安县德新污水处理
厂",911310260979203478001Q,0.5,1.19
567,河北省,廊坊市,文安县,"工业园区裕园道与创
新路交口","文安县金洋污水处理
厂","文安县金洋污水处理
厂",91131026MA0941F566001U,0.5,39.16
568,河北省,廊坊市,文安县,"左各庄镇西北部大清
河大堤南侧","左各庄镇西污水处理
厂","文安县清西污水处理
有限公司",91131026MA07TQ0P72001U,0.45,0.97
569,河北省,廊坊市,文安县,"城东大堤外文静公路
南","文安县城区污水处理
厂","文安县清源污水处理
有限公司",91131026MA0CKNLG4B001Z,2,536.4
570,河北省,廊坊市,文安县,新镇镇东代村村北,"文安县文新污水处理
厂","文安县文新污水处理
厂",91131026070806157P001Q,0.5,41.48
571,河北省,廊坊市,文安县,"左各庄镇十间房新村
泵站",左各庄污水处理厂,"文安县五强环保科技
有限公司",91131026MA08QN4W6F001W,2,307.95
572,河北省,"石家庄
市",无极县,无极镇东罗尚村村北,"无极县城北工业区污
水处理厂","无极县城北工业区综
合污水处理厂",91130130556083024L002V,8,131
573,河北省,沧州市,吴桥县,"经济技术开发区京沪
高速引道北侧","吴桥国祯污水处理有
限公司","吴桥国祯污水处理有
限公司",91130928MA09UAAQ23001X,3,413.08
574,河北省,邯郸市,武安市,"东环路与中兴路交叉
口路南","武安市水处理有限公
司","武安市水处理有限公
司",911304815782235697001Q,13.2,1603.76
575,河北省,邯郸市,武安市,东二环北端,"武安市水处理有限公
司(二厂)","武安市水处理有限公
司(二厂)",hb130400500000011M001Q,0.5,26.89
576,河北省,衡水市,武强县,"县城东，307国道与
武富路交叉口东北角",武强县污水处理厂,"武强县共创富来水务
有限公司",91131123678548539P001U,2,481.83
577,河北省,沧州市,献县,水源路建设局院内,"献县清源污水处理中
心","沧州中持环保设施运
营有限公司献县分公
司",91130929665288969P001V,4.5,1466.86
578,河北省,廊坊市,香河县,"经济开发区7号路与
大香县交叉口西南角","香河工业区污水处理
厂","香河九通基业公用事
业有限公司",91131024056514799R001Z,0.2,23.23
579,河北省,廊坊市,香河县,安头屯镇安四村北侧,安头屯镇污水处理厂,"香河国兴污水处理有
限公司",91131024072094624R001Z,1.5,324
580,河北省,廊坊市,香河县,"安平镇小友垡排干渠
南","香河县平安污水处理
厂","香河县平安污水处理
厂",91131024596826582N001Y,1.5,465.6
581,河北省,廊坊市,香河县,"绣水街南淑阳工业园
东侧","香河县三强污水处理
厂","香河县三强污水处理
厂",911310247870453752001Q,4,966.82
582,河北省,廊坊市,香河县,钱旺镇马房顶村北,"香河现代污水处理有
限公司","香河现代污水处理有
限公司",91131024052657987C001U,1,170.5
583,河北省,辛集市,辛集市,沧辛过境路南段,辛集市水处理中心,辛集市水处理中心,1213018140490417XC001U,10,2342.02
584,河北省,辛集市,辛集市,"清洁化工园区太行大
道1号","河北辛集高新技术开
发区污水处理厂","辛集市中涵环保科技
有限公司",91130181MA0854RE9R001V,1,8.52
585,河北省,邢台市,新河县,"南环路与迎宾街交汇
处","新河县玉树污水处理
厂","河北绿鸿环保科技有
限公司",911305306813921840001V,2,508
586,河北省,"石家庄
市",新乐市,邯邰镇坚固村,新乐市第二再生水厂,"石家庄北排水环境发
展有限公司",91130184MA07X6YE0B001Q,5,671.07
587,河北省,"石家庄
市",新乐市,"马头铺镇马头铺村村
南",新乐市第一再生水厂,"石家庄北排水环境发
展有限公司",91130184348033305T001Y,4,918.62
588,河北省,邢台市,南和区,"县城南部邢临高速公
路以南，溜子河西侧","邢台北控开源水质净
化有限公司","邢台北控开源水质净
化有限公司",91130500MA0CEKMP3G001W,1.5,212.13
589,河北省,邢台市,信都区,羊范村东南300米,"信都区龙冈经济开发
区污水处理厂","邢台龙洁污水处理有
限公司",91130521MA07LYKN6U001Y,0.5,7.3
590,河北省,邢台市,南和区,"县城东部，南澧河以
北、巩庄村北侧、张
李召村西","邢台南和县北控源和
水质净化有限公司","邢台南和县北控源和
水质净化有限公司",91130500MA0CEKMN7U001Z,3,488.44
591,河北省,邢台市,襄都区,"北小吕村石武高铁西
侧、京港澳高速东侧、
泉北大街南侧","邢台润城污水处理有
限公司","邢台润城污水处理有
限公司",91130502MA0CGFJG87001Z,10,2983
592,河北省,邢台市,宁晋县,"徐家河乡工业园区东
区","邢台市大曹庄管理区
婴泊污水处理厂","河北升益环保科技有
限公司",91130506MA089GTX1W001V,1.5,115
593,河北省,邢台市,襄都区,森林公园内,邢台市污水处理厂,邢台市污水处理厂,121305004033905176001V,10,3085.78
594,河北省,邢台市,襄都区,晏家屯镇陈家屯村,"邢台县宁科污水处理
有限公司","邢台县宁科污水处理
有限公司",91130521MA07UNUM02001X,0.5,138.7
595,河北省,邢台市,襄都区,东汪镇东汪村,"邢台冀泉中水有限公
司七里河污水处理分
厂","邢台冀泉中水有限公
司",911305010594035767001Y,5,79.71
596,河北省,邢台市,内丘县,李阳桥东200米,"邢台中瑞达水务有限
公司","邢台中瑞达水务有限
公司",91130523678507657B001Q,1.5,345.26
597,河北省,邢台市,广宗县,开发区,广宗县污水处理厂,"广宗鑫宗林环保科技
有限公司",91130531662206227X001X,2,296.07
598,河北省,承德市,兴隆县,兴隆镇小河南村,"兴隆县第二污水处理
厂","兴隆县天蓝环保服务
有限公司",91130822MA09T2GJ6X001Q,2,237
599,河北省,承德市,兴隆县,兴隆镇北区村,"兴隆县柳源污水处理
厂","兴隆县中冶水务有限
公司",91130822MA07KA5CXY001W,2,875.32
600,河北省,"雄安新
区",雄县,"东城新兴产业园区南
侧、马庄干渠东侧",龙湾镇污水处理厂,"葛洲坝水务（保定）
有限公司雄县分公司",911306380565212006001W,2,303.41
601,河北省,"雄安新
区",雄县,亚古城村东,雄县污水处理厂,"保定朗坤环保科技有
限公司",911306387926579580001Q,2,466.28
602,河北省,沧州市,盐山县,大王铺东侧,"盐山县城市污水处理
厂","盐山诚和污水处理有
限公司",91130925679946811R001Z,3,982.94
603,河北省,保定市,易县,固村大桥北,易县钰泉污水处理厂,"易县钰泉城市建设开
发有限公司",91130633784052254A001Q,5,808.32
604,河北省,廊坊市,永清县,小西关村村南,"永清北方污水处理有
限公司","永清北方污水处理有
限公司",9113102379840461X5001W,1.5,441.69
605,河北省,廊坊市,永清县,台湾工业新城,"永清京台水处理有限
公司","永清京台水处理有限
公司",911310230509744524001Q,1.3,94
606,河北省,廊坊市,永清县,经济开发区,"永清县润禾污水处理
有限公司","永清县润禾污水处理
有限公司",91131023564871485U001W,1,64.29
607,河北省,唐山市,玉田县,"散水头镇造纸工业园
区","玉田县绿源污水处理
厂","玉田县绿源污水处理
有限责任公司",91130229662249542T001V,0.5,216.89
608,河北省,"石家庄
市",元氏县,东张乡大陈庄村村西,"元氏县槐东污水处理
厂","元氏县槐东污水处理
厂",911301326741781047001Y,4,814.36
609,河北省,"石家庄
市",赞皇县,城东榆底道口,"赞皇县皇明污水处理
厂","赞皇县晖泽水处理环
保有限公司",91130129663686031Y001V,2,576.51
610,河北省,衡水市,枣强县,"大营镇铁路东营南干
渠北","枣强县大营污水处理
厂","枣强县沐沣环保设备
有限公司",91131121568947934P001U,3,665
611,河北省,衡水市,枣强县,"肃临线北延西侧、北
环路西延南侧","枣强县第二污水处理
厂","北方生态环境市政工
程技术有限公司",911311213585209594001U,3,722
612,河北省,衡水市,枣强县,"大营镇皮毛工业园区
丰营路东侧","枣强县金淼环保科技
有限公司","枣强县金淼环保科技
有限公司",91131121MA08M1UY62001Q,1,10
613,河北省,衡水市,枣强县,北环西路路北,枣强县污水处理厂,枣强县污水处理厂,91131121663688707D001V,1.5,293.08
614,河北省,"张家口
市",张北县,"张北镇安顺路北龙王
庙村东","张北嘉诚水质净化有
限公司","张北嘉诚水质净化有
限公司",911307226827636881001X,3,1031
615,河北省,"张家口
市",崇礼区,西湾子镇头道营桥旁,"崇礼区龙泽排水有限
公司","张家口崇礼区龙泽排
水有限公司",91130733782560765R001Q,0.8,0.54
616,河北省,"张家口
市","察北管
理区",沙沟乡工业园区,"张家口市察北管理区
飞跃城镇污水处理有
限公司","张家口晓清水务有限
公司",91130709554498883H001U,2,197.73
617,河北省,"张家口
市","经济开
发区",姚家房镇姚家房村东,"张家口市鸿泽排水有
限公司污水处理厂","张家口市鸿泽排水有
限公司",9113070074151747XP001Q,10,2914.7
618,河北省,"张家口
市",阳原县,"西城镇109国道南水
泉村西","张家口市环境工程有
限公司-阳原县污水
处理厂","张家口市环境工程有
限公司",91130701754005676U001X,2,272.8
619,河北省,"张家口
市","塞北管
理区",榆树沟,"张家口市塞北管理区
圣洁污水处理有限公
司","河北慕田峪环保建设
集团有限公司（塞北
项目部）",911307115713433659001Q,1.5,112.56
620,河北省,"张家口
市",万全区,孔家庄镇马家房村南,"张家口市万全区污水
净化研究中心","张家口润泽供排水有
限责任公司",121307296857128865001V,1.5,222.4
621,河北省,"张家口
市","下花园
区",洋河南,"张家口市下花园园鸣
污水处理有限责任公
司","张家口市下花园园鸣
污水处理有限责任公
司",911307067965955716001Y,2.5,341
622,河北省,"张家口
市",万全区,"产业集聚区南李家庄
村南","张家口润泽供排水有
限责任公司","张家口润泽供排水有
限责任公司",91130729693468414U001Z,2,106
623,河北省,"石家庄
市",赵县,工业园区生物产业园,赵县第二污水处理厂,赵县第二污水处理厂,91130133069420193U001V,1.5,255.5
624,河北省,"石家庄
市",赵县,范庄镇范庄村,"赵县梨都污水处理工
程有限公司","赵县梨都污水处理工
程有限公司",91130133599922086Q001Q,0.3,109.5
625,河北省,"石家庄
市",赵县,柏林街南头路西,赵县清源污水处理厂,赵县清源污水处理厂,91130133782587888X001V,10,1462.5
626,河北省,"石家庄
市",正定县,南牛乡河里村村北,"正定高新技术产业开
发区污水处理厂","正定高新技术产业开
发区建设投资有限公
司",91130123336339120B001Z,2,12.2
627,河北省,"秦皇岛
市","经济技
术开发
区","陕西北路以东，鹏泰
铁路以北","中节能泰盛秦皇岛水
务有限公司陕西北路
污水处理厂","中节能泰盛秦皇岛水
务有限公司",91130301329725496T001U,2,495.86
628,河北省,廊坊市,霸州市,"霸州镇关王堂村牤牛
河以西津保公路南
600米","中信环境水务（霸州）
有限公司霸州市污水
处理厂","中信环境水务（霸州）
有限公司",91131081678546429D001P,4,1276.7
629,河北省,"石家庄
市",无极县,无极镇东罗尚村村北,"无极县城市综合污水
处理厂","中信环境水务（无极
县）有限公司",91130130MA0EFEYL8J001V,16,1591
630,河北省,辛集市,辛集市,"市府街东头北侧六前
公路西头北侧","辛集市佳洁污水处理
厂","中信环境水务（辛集）
有限公司",91130181MA08KL1N5D001Q,12,1856.25
631,河北省,"秦皇岛
市","山海关
区",龙海大道158号,"中冶秦皇岛水务有限
公司山海关污水处理
厂","中冶秦皇岛水务有限
公司",91130303666563360F001U,4,1187.46
632,河北省,"张家口
市",涿鹿县,"城镇北部片区北侧，
灵泉河东侧","涿鹿县矾山镇灵泉污
水处理有限责任公司","河北星源环境科技有
限公司",91130731578224721Y001U,1.5,158.04
633,河北省,"张家口
市",涿鹿县,界牌梁村北,"涿鹿县污水处理管理
中心","涿鹿县污水处理管理
中心",12130731776175756C001X,3,546
634,河北省,保定市,涿州市,刁窝乡东张村北,"涿州市城市污水处理
厂（东厂）","涿州中科国益水务有
限公司（东厂）",91130681788656645Q002Q,4,1286.51
635,河北省,保定市,涿州市,刁窝乡东张村北,"涿州市城市污水处理
厂（开发区厂）","涿州中科国益水务有
限公司（开发区厂）",91130681788656645Q001Q,2,647.91
636,河北省,保定市,涿州市,甲秀路339号,"涿州市城市污水处理
厂（西厂）","涿州中科国益水务有
限公司（西厂）",91130681788656645Q003V,4,1377.85
637,河北省,唐山市,遵化市,"西留村乡五里屯村西
南","遵化国祯污水处理有
限公司","遵化国祯污水处理有
限公司",91130281684305744W001Q,8,2660.24
638,河北省,唐山市,遵化市,"地北头镇地北头村村
东","遵化市绿源污水处理
有限公司","遵化市绿源污水处理
有限公司",91130281MA09PQG982001U,0.25,14.58
639,河北省,唐山市,遵化市,地北头镇南新庄村,"遵化市水美污水处理
有限公司","遵化市水美污水处理
有限公司",91130281MA09NNYR03001U,0.25,15.3
640,河北省,"石家庄
市",鹿泉区,开发区南新城村西,"石家庄市鹿泉区污水
处理厂","石家庄市鹿泉区污水
处理厂",91130185743448172G001V,2,700.79
641,河北省,唐山市,"芦台经
济开发
区",开发区场部,中心城区污水处理厂,"河北国源水务有限公
司",91130296MA0CGPKHXE001V,0.7,108.51
642,河北省,唐山市,迁安市,"迁安经济开发区经十
一路与十七街交口东
南侧","迁安市大西区建设开
发有限公司","唐山城市排水有限公
司迁安运营分公司",91130283563246741E001U,0.5,72.5
643,河北省,沧州市,新华区,永济东路103号,运东污水处理厂,"沧州市供水排水集团
有限公司",91130900106602114N001U,10,2748.49
644,河北省,沧州市,肃宁县,肃宁镇神华东路,"肃宁县第二污水处理
有限公司","河北林江环境科技发
展有限公司",911330926796562956N001V,2,655.14
645,山西省,临汾市,蒲县,蒲城镇桃湾村,蒲县城区污水处理厂,"安徽天康集团水处理
有限公司",91341181580142979K001R,1,167.84
646,山西省,忻州市,保德县,东关镇新城区,"保德县城污水处理有
限公司","保德县泓源达水处理
有限公司",12140733692215626Q001V,1.5,167.8
647,山西省,临汾市,大宁县,"昕水镇新城区古乡村
南湾","大宁县新昕污水处理
厂","大宁县新昕污水处理
厂",91141030566303772J001R,0.25,92.83
648,山西省,大同市,云州区,"城区大同电务段修配
所至水电段",湖东污水处理站,"大秦铁路股份有限公
司大同西供电段",91140200X02160024A001Q,0.3,32.57
649,山西省,大同市,"经济技
术开发
区",水泊寺乡寺儿村东,"大同开发区污水处理
有限责任公司","大同开发区污水处理
有限责任公司",911402007363151952001Y,2,270
650,山西省,大同市,云冈区,南郊区赵家小村,"同煤集团赵家小村污
水处理厂","大同煤矿集团有限责
任公司生活污水处理
分公司",911402007832708076001W,4,1265
651,山西省,大同市,平城区,"新旺乡新泉村御河西
路","大同市东郊污水处理
厂","大同市东郊污水处理
厂",H9140200000000003N001W,10,2667.25
652,山西省,大同市,平城区,开源街西口,"大同市西郊污水处理
厂","大同市西郊污水处理
厂",H9140200000000002L001X,10,2885.58
653,山西省,大同市,新荣区,新荣村南200m处,"大同市新荣区污水处
理厂","大同市新荣区污水处
理厂",91140212688050398H001X,0.5,37.65
654,山西省,大同市,"经济技
术开发
区",高新技术产业园,"大同御东污水处理有
限责任公司","大同市御东污水处理
有限责任公司",911402005613493763001U,6,1557.42
655,山西省,大同市,云冈区,"口泉乡落里湾村东南
500m处",恒安新区污水处理厂,"大同市御水生态环境
治理有限公司",91140200MA0GUXQJ6H001Q,6,1155
656,山西省,大同市,云州区,西坪镇寺儿上村,"大同市云州区污水处
理厂有限责任公司","大同市云州区污水处
理厂有限责任公司",91140227678190469E001Q,0.5,129.5
657,山西省,忻州市,代县,峨口镇佛光庄村北,"代县峨口污水处理有
限公司","代县峨口污水处理有
限公司",91140923346780454B001R,0.5,42.92
658,山西省,忻州市,代县,上馆镇西关,代县污水处理厂,"忻州市神达洁源环境
科技集团有限公司",911409237701353076001X,1,360
659,山西省,忻州市,定襄县,河边镇河四村,"定襄县河边污水处理
有限公司","定襄县河边污水处理
有限公司",91140921098854361D001X,0.4,134.72
660,山西省,忻州市,定襄县,晋昌镇北关村,"定襄县污水处理厂
（有限公司）","定襄县污水处理厂
（有限公司）",911409216744846385001U,2,469.77
