省/直辖市,地市,Permit,单位名称,行业类别,有效期限,发证日期
重庆市,市辖区,915001066839370372003Z,重庆市沙坪坝区三百梯污水处理厂（重庆赋洁环保工程有限公司）,污水处理及其再生利用,2021-12-19至2026-12-18,2021-12-03
重庆市,市辖区,915001066839370372005X,重庆市沙坪坝区枫香园污水处理厂（重庆赋洁环保工程有限公司）,污水处理及其再生利用,2021-12-19至2026-12-18,2021-12-03
重庆市,市辖区,915001066839370372004Z,重庆市沙坪坝区碑口污水处理厂（重庆赋洁环保工程有限公司）,污水处理及其再生利用,2021-12-19至2026-12-18,2021-12-03
重庆市,市辖区,915001066839370372001U,重庆市沙坪坝区中梁污水处理厂（重庆赋洁环保工程有限公司）,污水处理及其再生利用,2021-12-19至2026-12-18,2021-12-03
重庆市,市辖区,915001066839370372002Y,重庆市沙坪坝区煤科院污水处理厂（重庆赋洁环保工程有限公司）,污水处理及其再生利用,2021-12-19至2026-12-18,2021-09-27
重庆市,市辖区,915001066839370372006Q,重庆市沙坪坝区芭蕉沟污水处理厂（重庆赋洁环保工程有限公司）,污水处理及其再生利用,2021-12-19至2026-12-18,2021-12-03
山东省,济宁市,91370826MA3D18DW6M001U,微山县微山岛污水处理有限公司,污水处理及其再生利用,2021-07-06至2026-07-05,2021-07-06
宁夏回族自治区,中卫市,91640500MA76C6HPXE004U,宁夏水投中卫水务有限公司高铁站污水处理厂,污水处理及其再生利用,2024-03-19至2029-03-18,2024-03-19
陕西省,咸阳市,91610423681580134R001X,泾阳冠业生物净化有限公司,污水处理及其再生利用,2024-03-19至2029-03-18,2024-03-19
新疆维吾尔自治区,乌鲁木齐市,91650109MA781YF946011Q,乌鲁木齐市米东区羊毛工镇羊毛工村污水处理站,污水处理及其再生利用,2024-02-18至2029-02-17,2024-03-19
新疆维吾尔自治区,乌鲁木齐市,91650109MA781YF946008U,乌鲁木齐市米东区羊毛工镇西庄子村（蒋家湾村）污水处理站,污水处理及其再生利用,2024-02-18至2029-02-17,2024-03-19
新疆维吾尔自治区,乌鲁木齐市,91650109MA781YF946009Q,乌鲁木齐市米东区长山子镇吉三泉村污水处理站,污水处理及其再生利用,2024-02-18至2029-02-17,2024-03-19
新疆维吾尔自治区,乌鲁木齐市,91650109MA781YF946010U,乌鲁木齐市米东区三道坝镇河南村污水处理站,污水处理及其再生利用,2024-02-18至2029-02-17,2024-03-19
福建省,宁德市,91350923MA2XRQNY3K001Q,福建水投集团屏南水务有限公司(屏南县污水处理厂),污水处理及其再生利用,2023-11-09至2028-11-08,2023-11-09
贵州省,遵义市,91520382MA6DRKN673021R,仁怀市水务净水有限责任公司（仁怀市陈家咀白酒废水处理厂）,污水处理及其再生利用,2021-03-26至2026-03-25,2021-03-26
广东省,肇庆市,914412037629424911002Q,肇庆市恒泰经济发展有限公司,污水处理及其再生利用,2021-09-26至2026-09-25,2021-09-26
湖北省,武汉市,91420100562315637U001X,  武汉车都环境科技有限公司,污水处理及其再生利用,2021-12-23至2026-12-22,2021-12-23
湖北省,武汉市,91420100761203929R001V,武汉新城污水处理有限公司,污水处理及其再生利用,2023-08-10至2028-08-09,2023-08-10
上海市,市辖区,913101161342378980001Y,上海金山排海工程有限公司（二车间）,污水处理及其再生利用,2024-03-19至2029-03-18,2024-03-19
甘肃省,临夏回族自治州,91622900MA744ML41K002U,临夏县土桥镇生活污水处理厂,污水处理及其再生利用,2022-11-08至2027-11-07,2022-09-09
甘肃省,甘南藏族自治州,91623025MA72F61Y4L001U,玛曲县央德水务热力有限公司（玛曲县污水处理厂）,污水处理及其再生利用,2022-07-13至2027-07-12,2022-06-13
甘肃省,临夏回族自治州,91622900MA744ML41K001Q,临夏县城区生活污水处理厂,污水处理及其再生利用,2022-10-31至2027-10-30,2022-09-09
山东省,青岛市,91370285MA7EFM4MXP001V,青岛华祺水务科技有限公司,污水处理及其再生利用,2023-09-01至2028-08-31,2023-09-01
山东省,青岛市,91370285MA956NKG1P001V,青岛海生水务科技有限公司,污水处理及其再生利用,2022-12-30至2027-12-29,2022-12-30
辽宁省,鞍山市,91210322MA10AH0P46001R,岫岩满族自治县泰洁污水处理有限公司(岫岩满族自治县新甸污水处理厂),污水处理及其再生利用,2024-03-19至2029-03-18,2024-03-19
河南省,濮阳市,91410922MA3XHQ639F003V,清丰中州水务有限公司第一污水处理厂,污水处理及其再生利用,2022-06-27至2027-06-26,2022-06-27
黑龙江省,鹤岗市,91233001132008231A002U,北大荒集团黑龙江绥滨农场有限公司（污水处理厂）,污水处理及其再生利用,2023-09-22至2028-09-21,2023-09-22
贵州省,遵义市,91520390MAAK383G10001U,遵义市新蒲水务投资运营管理有限责任公司,污水处理及其再生利用,2023-09-06至2028-09-05,2023-09-06
广东省,东莞市,12441900661475839N001V,樟木头樟洋垃圾填埋场渗滤液处理站（东莞市樟木头镇公用事业服务中心）,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
甘肃省,甘南藏族自治州,916230247509436815001Z,迭部林业局后勤管理中心,污水处理及其再生利用,2022-06-28至2027-06-27,2022-05-17
福建省,南平市,91350783MA31FTWQ0P001R,福建厦瓯污水处理有限公司（建瓯城西污水处理厂）,污水处理及其再生利用,2022-03-24至2027-03-23,2022-03-31
河南省,新乡市,91410724589738998Q001R,获嘉县嘉盟污水处理有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
河南省,新乡市,91410724MA46ADDA4N001R,城发水务（获嘉）有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
浙江省,嘉兴市,91330421721076072Y003V,嘉善县大地污水处理工程有限公司西塘净水厂,污水处理及其再生利用,2023-11-29至2028-11-28,2023-11-29
山东省,日照市,91371100336383199R001R,光大水务（莒县）有限公司沭东厂,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
山东省,日照市,91371100336383199R002R,光大水务（莒县）有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
山东省,日照市,91371122MA3Q03143E001V,莒县光水污水处理有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
安徽省,芜湖市,91330102593926393R001V,浙江博格沃环境服务有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
天津市,市辖区,9112011068772061XM001W,天津东丽湖建设发展有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
广东省,惠州市,91441300688671530D001Q,惠州市广业环保有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
辽宁省,大连市,9121028366924228XY001W,大连庄河光水水务有限公司,污水处理及其再生利用,2021-12-19至2026-12-18,2021-09-24
辽宁省,大连市,91210283MA104WTK63001Q,庄河市光水污水处理有限公司,污水处理及其再生利用,2021-12-19至2026-12-18,2021-09-24
河南省,郑州市,9141018439516712X6001V,郑州新中洲水务有限公司第一污水处理厂,污水处理及其再生利用,2022-01-03至2027-01-02,2021-11-08
河北省,张家口市,91130725MACJD0BL9H001Q,尚义县利通排水有限公司,污水处理及其再生利用,2023-10-13至2028-10-12,2023-10-13
山东省,临沂市,91371322MA3C7MWL78001Q,临沂盛荣环保科技有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
广东省,佛山市,91440608096439594X001Q,佛山市高明区更合镇广业环保水务有限公司,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
江西省,萍乡市,913603215508968330001U,江西洪城水业环保有限公司莲花县分公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
河南省,许昌市,91411000MA9K31LD08002V,河南经高生物医药产业园有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
山东省,济南市,913701006772883257001U,光大水务（济南历城）有限公司三厂,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
广东省,揭阳市,91445281MA53LNQD8K001V,里湖镇和平村凉果污水处理厂,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
河南省,周口市,91411681MA47XU395K001V,项城市第二污水处理有限公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
河南省,漯河市,91411122061388037T001Q,中原环保漯河水务科技有限公司,污水处理及其再生利用,2021-06-03至2026-06-02,2021-06-03
内蒙古自治区,赤峰市,91150402318499585B001R,赤峰东荣羊绒发展（集团）有限公司,污水处理及其再生利用,2021-12-10至2026-12-09,2024-03-18
内蒙古自治区,赤峰市,12150429743877866P001Z,宁城县污水处理服务中心,污水处理及其再生利用,2022-06-28至2027-06-27,2024-03-18
江西省,吉安市,91360823553505121M001W,江西洪城水业环保有限公司峡江分公司,污水处理及其再生利用,2024-03-18至2029-03-17,2024-03-18
湖北省,恩施土家族苗族自治州,914228017932925758001V,恩施市福达产业投资有限公司,污水处理及其再生利用,2022-12-28至2027-12-27,2022-12-28
湖北省,恩施土家族苗族自治州,91422801MA491L814D001X,红庙污水处理厂,污水处理及其再生利用,2022-07-02至2027-07-01,2022-06-24
湖北省,恩施土家族苗族自治州,91422822565456195k002U,建始县聚源水质净化有限公司（弓箭岩厂区）,污水处理及其再生利用,2022-07-12至2027-07-11,2022-04-24
福建省,南平市,91350702MAC2CJ948Y001V,南平市陈瓦污水处理有限公司,污水处理及其再生利用,2023-06-30至2028-06-29,2023-06-30
湖北省,荆门市,91420802MA48CPE63F001P,荆门市永诚环保科技有限公司,污水处理及其再生利用,2024-03-15至2029-03-14,2024-03-15
浙江省,舟山市,9133090314877618XE002Q,朱家尖城区污水处理厂,污水处理及其再生利用,2024-03-15至2029-03-14,2024-03-15
福建省,宁德市,913509827617634166001C,福鼎市三联污水处理有限公司,污水处理及其再生利用,2022-08-08至2027-08-07,2022-08-08
河南省,新乡市,91410725671658049N001W,原阳县开源污水净化有限公司,污水处理及其再生利用,2024-03-15至2029-03-14,2024-03-15
河南省,新乡市,91410721MA9GCATX5E001U,新乡县小冀镇第一污水处理厂,污水处理及其再生利用,2024-03-15至2029-03-14,2024-03-15
山东省,滨州市,91371600599257733M001Z,滨州滨海环保有限公司,污水处理及其再生利用,2022-02-22至2027-02-21,2022-02-22
贵州省,六盘水市,91520203214720361G001V,六枝特区水务供排水有限责任公司,污水处理及其再生利用,2022-06-30至2027-06-29,2022-06-21
河南省,焦作市,91410822MA47X0A55K001V,中原环保生态环境科技（博爱县）有限公司,污水处理及其再生利用,2021-07-06至2026-07-05,2021-07-06
江苏省,连云港市,91320703083129415w001V,连云港港口公共资产管理有限公司,污水处理及其再生利用,2024-03-15至2029-03-14,2024-03-15
河南省,新乡市,91410726MA44F84P12001W,延津首创水务有限公司（第二污水厂）,污水处理及其再生利用,2024-03-07至2029-03-06,2024-03-07
湖北省,武汉市,914201055749484311001Z,武汉什湖污水处理有限公司,污水处理及其再生利用,2022-01-01至2026-12-31,2022-01-10
广西壮族自治区,柳州市,91450222MA5NKYCG67001W,柳城县长兴污水处理有限公司,污水处理及其再生利用,2023-04-20至2028-04-19,2022-04-20
福建省,三明市,91350402735660341Q001R,福建梅列（三元）经济开发区小蕉污水处理厂（三明市瑞云新区建设发展有限公司）,污水处理及其再生利用,2024-03-15至2029-03-14,2024-03-15
河南省,新乡市,91410726MA44F84P12002X,延津首创水务有限公司（第一污水处理厂）,污水处理及其再生利用,2024-03-07至2029-03-06,2024-03-07
西藏自治区,拉萨市,91540125MA6T4LP378002V,拉萨北控泷源水务有限公司,污水处理及其再生利用,2021-12-14至2026-12-13,2021-12-14
辽宁省,沈阳市,91210181MAC1UK2E58001U,新民盛清源水处理有限公司,污水处理及其再生利用,2021-09-06至2026-09-05,2021-09-06
江苏省,盐城市,91320902MA1M9AW927001V,江苏新青洋实业投资有限公司,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
河北省,邢台市,91130521MA07UNUM02001X,邢台宁科污水处理有限公司,污水处理及其再生利用,2021-10-28至2026-10-27,2021-10-28
吉林省,延边朝鲜族自治州,91222426MA84TAFN45002U,安图县生活污水处理厂松江镇分厂,污水处理及其再生利用,2023-12-17至2028-12-16,2020-12-17
山东省,日照市,91371122MA3QK4YR33001V,莒县海右水务科技有限公司（莒县二污）,污水处理及其再生利用,2024-03-12至2029-03-11,2024-03-12
辽宁省,沈阳市,91210114784552793Q001U,国能辽宁环保产业集团有限公司仙女河污水处理厂,污水处理及其再生利用,2021-12-28至2026-12-27,2021-10-11
河南省,郑州市,91410184MA47394588001V,新郑市新泽水务有限公司,污水处理及其再生利用,2023-06-14至2028-06-13,2023-06-14
安徽省,淮南市,913404007711165972001U,淮南首创水务有限责任公司第一污水处理厂,污水处理及其再生利用,2022-08-22至2027-08-21,2022-08-16
贵州省,黔东南苗族侗族自治州,915226276884453301001R,黔东南同壹水务有限公司,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
新疆维吾尔自治区,阿勒泰地区,91654325MA78C4YQ2Y001Q,青河县净源污水处理有限公司,污水处理及其再生利用,2022-07-11至2027-07-10,2022-05-05
甘肃省,定西市,91621121095961284H001V,通渭县洁源污水处理有限责任公司,污水处理及其再生利用,2022-07-24至2027-07-23,2022-06-21
甘肃省,定西市,116224240153273641001Q,通渭县马营镇人民政府,污水处理及其再生利用,2023-04-10至2028-04-09,2023-04-10
甘肃省,定西市,11622424015327348B001Q,通渭县义岗川镇人民政府（污水处理厂）,污水处理及其再生利用,2022-09-13至2027-09-12,2022-09-13
安徽省,合肥市,9134000071177511XW121V,巢湖市半岛污水处理厂,污水处理及其再生利用,2022-08-08至2027-08-07,2022-08-08
甘肃省,定西市,91621124MA73BFWC51001U,临洮县清洮污水处理有限责任公司,污水处理及其再生利用,2022-10-30至2027-10-29,2022-10-29
甘肃省,定西市,91621124MA71XH0B7U001U,临洮县中铺工业园给排水工程有限公司,污水处理及其再生利用,2022-04-15至2027-04-14,2022-04-05
四川省,遂宁市,91510900MA68WA6T2Q045V,南强工业污水处理厂,污水处理及其再生利用,2024-06-26至2029-06-25,2024-06-26
安徽省,滁州市,91341125MA2TCN38XJ018V,定远县城乡水务投资建设有限公司,污水处理及其再生利用,2024-06-25至2029-06-24,2024-06-25
山东省,聊城市,91371521050903670Q001V,阳谷县瀚海水处理有限公司,污水处理及其再生利用,2024-06-25至2029-06-24,2024-06-25
甘肃省,武威市,12622322438681154E001X,民勤县给排水管理站,污水处理及其再生利用,2024-06-29至2029-06-28,2024-05-20
辽宁省,沈阳市,91210113MA10WLYR8L004V,中核（沈阳）水务有限公司（蒲河北污水处理厂）,污水处理及其再生利用,2024-02-19至2029-02-18,2024-02-19
海南省,陵水黎族自治县,11468844MB0R7969XM026Q,陵水黎族自治县生态环境局（陵水县光坡镇岭门居污水处理厂）,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
安徽省,池州市,91341700MA8Q7GPU1N001V,池州市深水水务有限公司,污水处理及其再生利用,2022-08-05至2027-08-04,2022-08-05
湖南省,岳阳市,91430681MA4PB7KC1E001Q,汨罗经发水务有限公司,污水处理及其再生利用,2022-09-01至2027-08-31,2022-08-09
广东省,广州市,91440101061115565M001Q,广州市净水有限公司龙归分公司,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
辽宁省,葫芦岛市,912114006896967803001C,凡和（葫芦岛）水务投资有限公司,污水处理及其再生利用,2022-08-26至2027-08-25,2022-06-14
广西壮族自治区,防城港市,91450681MA5PQDJ74B001V,广西东兴北投环保水务有限公司江平工业污水处理厂,污水处理及其再生利用,2023-09-18至2028-09-17,2023-09-18
湖北省,黄冈市,91421181670363003A001Q,麻城市龙泉水处理科技发展有限公司,污水处理及其再生利用,2022-09-03至2027-09-02,2022-09-02
河北省,衡水市,91131127MA0847K02P001K,景县留智庙污水处理厂,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
陕西省,延安市,916106004364535539001U,延安水务环保集团水环境治理有限公司,污水处理及其再生利用,2022-06-20至2027-06-19,2022-06-27
河南省,驻马店市,1241282967414203x3002Y,正阳县第二污水处理厂,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
福建省,泉州市,91350583MA357FJX7C002V,南安市城乡水务集团有限公司（南翼污水厂）,污水处理及其再生利用,2023-10-31至2028-10-30,2023-10-31
福建省,泉州市,91350583MA357FJX7C001V,南安市城乡水务集团有限公司,污水处理及其再生利用,2024-02-05至2029-02-04,2024-02-05
湖南省,永州市,914301007744859962011Q,航天凯天环保科技股份有限公司道县分公司-白马渡镇污水处理厂,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
湖南省,永州市,914301007744859962014Q,航天凯天环保科技股份有限公司道县分公司-梅花镇污水处理厂,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
湖南省,永州市,914301007744859962010U,航天凯天环保科技股份有限公司道县分公司-清塘镇污水处理厂,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
湖南省,永州市,914301007744859962015Q,航天凯天环保科技股份有限公司道县分公司-柑子园镇污水处理厂,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
湖南省,永州市,914301007744859962012Q,航天凯天环保科技股份有限公司道县分公司-白芒铺镇污水处理厂,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
湖南省,永州市,914301007744859962013U,航天凯天环保科技股份有限公司道县分公司-四马桥镇污水处理厂,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
吉林省,松原市,91220721691011592J001V,前郭县长山镇污水处理厂,污水处理及其再生利用,2024-02-23至2029-02-22,2024-02-01
辽宁省,锦州市,91210726590922020H001Q,黑山北方清源水务有限公司,污水处理及其再生利用,2022-08-30至2027-08-29,2022-09-27
福建省,南平市,91350781597854841E001R,邵武吴家塘污水处理有限公司,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
河南省,鹤壁市,91410621MA3XB5B22F002Z,浚县中州水务有限公司第二污水处理厂,污水处理及其再生利用,2022-06-10至2027-06-09,2022-03-14
河南省,驻马店市,1241282967414203X3001W,正阳县污水处理厂,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
陕西省,渭南市,91610526MA6Y73Q6X9001U,蒲城县城南水质净化有限公司,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
河南省,鹤壁市,91410621MA3XB5B22F001Q,浚县中州水务有限公司第一污水处理厂,污水处理及其再生利用,2022-06-10至2027-06-09,2022-03-14
河南省,濮阳市,91410928396337530E001V,濮阳同生中宇水务有限公司,污水处理及其再生利用,2022-06-12至2027-06-11,2022-04-21
广东省,揭阳市,91445200MABY2XW29R001U,揭阳阳美北控水务有限公司,污水处理及其再生利用,2024-03-14至2029-03-13,2024-03-14
湖北省,恩施土家族苗族自治州,91422826MA49F97C1X001V,咸丰县新沅水务管理有限责任公司,污水处理及其再生利用,2021-04-09至2026-04-08,2021-04-09
广西壮族自治区,玉林市,91450924MA5L6J8C96002Q,兴业信开水环境有限公司（山心镇污水处理厂）,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
广西壮族自治区,玉林市,91450924MA5L6J8C96011Q,兴业信开水环境有限公司（龙安镇污水处理厂）,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
河南省,焦作市,91410800568634137L001X,嘉诚（焦作）水务有限公司,污水处理及其再生利用,2021-10-25至2026-10-24,2021-10-25
湖北省,十堰市,91420303MACWNHGYX0003V,十堰犟河环境科技有限公司（西部污水处理厂）,污水处理及其再生利用,2023-12-01至2028-11-30,2023-12-01
河南省,商丘市,91411400341711820L001X,商丘康达水处理有限公司,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
河南省,商丘市,91411400MA441FR65H001V,商丘新发环保科技有限公司,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
河南省,商丘市,91411400MA441FR65H002V,商丘新发环保科技有限公司(商丘市第三污水处理厂二期工程）,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
青海省,海东市,91632128564912777Q001U,循化县凌志房地产开发有限公司（循化县查汗都斯乡（黄河彩篮）污水处理厂）,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
四川省,广元市,915108227822917458001V,青川县工业发展集团有限公司（四川青川经济开发区园区污水处理厂）,污水处理及其再生利用,2024-03-12至2029-03-11,2024-03-12
黑龙江省,大庆市,91230605786008804D002V,大庆腾辉石油工程技术服务有限公司含油废液处理站,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
辽宁省,本溪市,91210505MA11074E9N001V,辽宁南芬铸件产业园污水处理站,污水处理及其再生利用,2022-04-07至2027-04-06,2022-04-07
湖北省,孝感市,91420981679772911P001V,应城新锦程环保科技有限责任公司,污水处理及其再生利用,2022-09-04至2027-09-03,2022-09-26
湖北省,孝感市,91420900780932393M001V,孝感中设水务有限公司,污水处理及其再生利用,2024-02-06至2029-02-05,2024-02-06
湖南省,株洲市,91430203MA4RWLAM41001U,湖南上善若水环保有限公司,污水处理及其再生利用,2024-02-01至2029-01-31,2024-01-30
福建省,宁德市,91350900MA340CE67W001V,宁德北控水环境有限公司,污水处理及其再生利用,2021-10-19至2026-10-18,2021-10-19
黑龙江省,牡丹江市,91231081692616585X001Z,绥芬河中环污水处理有限公司,污水处理及其再生利用,2019-06-26至2024-06-25,2019-06-26
贵州省,遵义市,91520300780178183N006U,巷口镇污水处理厂,污水处理及其再生利用,2023-12-04至2028-12-03,2023-12-04
河南省,南阳市,91411300086292525B001X,南阳德威华泰水务有限公司,污水处理及其再生利用,2022-06-25至2027-06-24,2022-06-25
河南省,许昌市,91411025MA44PXRM66002R,襄城中州水务污水处理有限公司第一污水处理厂,污水处理及其再生利用,2024-03-05至2029-03-04,2024-03-05
广东省,肇庆市,91441200675230090w003Q,肇庆市肇水污水处理有限公司（第二污水处理厂）,污水处理及其再生利用,2021-06-04至2026-06-03,2021-06-04
河南省,许昌市,91411024MA46A96FXW001R,鄢陵县环保污水处理厂第二污水处理厂,污水处理及其再生利用,2022-06-01至2027-05-31,2022-06-01
河南省,信阳市,91411500MA3XGY9K3X001V,信阳桑德申州水务有限公司,污水处理及其再生利用,2022-07-24至2027-07-23,2022-07-28
安徽省,六安市,91341522MA2UGQMF9B001V,霍邱县城北第二污水处理厂,污水处理及其再生利用,2021-12-23至2026-12-22,2021-12-23
广西壮族自治区,玉林市,91450924MA5L6J8C96001U,兴业信开水环境有限公司（大平山镇污水处理厂）,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
河南省,三门峡市,91411224097547001H001R,卢氏县富源污水处理有限公司,污水处理及其再生利用,2022-12-22至2027-12-21,2022-11-07
河南省,三门峡市,91411224661882215M002U,卢氏县豫源清污水处理厂,污水处理及其再生利用,2023-11-22至2028-11-21,2023-11-22
河南省,南阳市,914113277822083908001R,社旗县污水处理厂,污水处理及其再生利用,2023-12-27至2028-12-26,2023-12-27
辽宁省,本溪市,912105001196614127001Q,辽宁辽东水务控股有限责任公司（高新区污水处理厂）,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
辽宁省,本溪市,912105001196614127009V,辽宁辽东水务控股有限责任公司歪头山污水处理厂,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
山东省,临沂市,9137130266138518XM002V,康达环保（临沂）水务有限公司,污水处理及其再生利用,2024-03-12至2029-03-11,2024-03-12
河南省,商丘市,91411422MA3X9EY81G001Q,睢县第三污水处理厂,污水处理及其再生利用,2022-06-19至2027-06-18,2022-06-06
辽宁省,沈阳市,91210181573454800R001Z,布卢富环保（沈阳）有限公司,污水处理及其再生利用,2022-03-15至2027-03-14,2021-12-14
新疆维吾尔自治区,阿克苏地区,91652901572525785R001U,新疆阿克苏水务环保集团股份有限公司（污水处理厂）,污水处理及其再生利用,2023-06-08至2028-06-07,2023-06-08
广西壮族自治区,玉林市,91450924MA5L6J8C96003U,兴业信开水环境有限公司（城隍镇污水处理厂）,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
海南省,文昌市,91460000MA5TN9UA5T007Q,中交（文昌）城镇建设投资有限责任公司（文昌市冯坡镇污水处理厂）,污水处理及其再生利用,2023-03-21至2028-03-20,2023-03-21
海南省,文昌市,91460000MA5TN9UA5T006U,中交（文昌）城镇建设投资有限责任公司（文昌市东郊镇污水处理厂）,污水处理及其再生利用,2023-03-09至2028-03-08,2023-03-09
海南省,文昌市,91460000MA5TN9UA5T005Q,中交（文昌）城镇建设投资有限责任公司（文昌市翁田镇污水处理厂）,污水处理及其再生利用,2023-04-07至2028-04-06,2023-04-07
海南省,文昌市,91460000MA5TN9UA5T003Q,中交（文昌）城镇建设投资有限责任公司（文昌市潭牛镇污水处理厂）,污水处理及其再生利用,2023-04-20至2028-04-19,2023-04-20
海南省,文昌市,91460000MA5TN9UA5T004U,中交（文昌）城镇建设投资有限责任公司（文昌市昌洒镇污水处理厂）,污水处理及其再生利用,2023-03-09至2028-03-08,2023-03-09
广东省,河源市,114416257592018798001Q,东源县黄田镇人民政府,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
四川省,遂宁市,91510904309378511K001U,四川东捷污水处理有限公司,污水处理及其再生利用,2022-08-15至2027-08-14,2022-06-21
广西壮族自治区,百色市,91451000MA5L7G9391003Q,西林县马蚌镇污水处理厂,污水处理及其再生利用,2022-01-25至2027-01-24,2022-01-25
福建省,漳州市,91350623MACK89JN4C001Q,漳州市圣泽水务有限公司,污水处理及其再生利用,2022-06-26至2027-06-25,2022-06-21
甘肃省,临夏回族自治州,1162292501395935XE001U,和政县松鸣镇污水处理站,污水处理及其再生利用,2024-03-11至2029-03-10,2024-03-08
湖南省,株洲市,91430200730492772E001V,株洲市龙泉污水处理厂,污水处理及其再生利用,2023-12-28至2028-12-27,2023-12-28
湖南省,株洲市,91430200730492772E004U,株洲市枫溪污水处理厂,污水处理及其再生利用,2023-12-28至2028-12-27,2023-12-28
湖南省,株洲市,91430200730492772E003Q,株洲市霞湾污水处理厂,污水处理及其再生利用,2023-12-28至2028-12-27,2023-12-28
云南省,文山壮族苗族自治州,91532627MA6N25EA48001U,广南云水环保产业投资有限公司,污水处理及其再生利用,2024-03-13至2029-03-12,2024-03-13
湖北省,恩施土家族苗族自治州,91422802MAC8XHL49L001V,利川市清山生态环保有限公司,污水处理及其再生利用,2022-04-26至2027-04-25,2022-03-08
湖北省,恩施土家族苗族自治州,91422825MA492XNA1E001U,宣恩污水处理厂,污水处理及其再生利用,2022-08-12至2027-08-11,2022-06-13
湖南省,常德市,914307007828684792001Q,常德清蓝水务有限公司,污水处理及其再生利用,2024-03-12至2029-03-11,2024-03-12
辽宁省,沈阳市,12210100784592752C001Y,国能辽宁环保产业集团有限公司（西部污水处理厂）,污水处理及其再生利用,2024-01-22至2029-01-21,2024-01-22
河南省,新乡市,91410711MA3XJEC94F001X,新乡市碧水源水处理有限公司,污水处理及其再生利用,2024-01-16至2029-01-15,2024-01-16
河南省,漯河市,91411100554233092H003Z,漯河双汇肉业有限公司动力分厂3号站,污水处理及其再生利用,2022-06-29至2027-06-28,2023-06-08
河南省,新乡市,914107270652688418001T,封丘县产业集聚区污水处理厂,污水处理及其再生利用,2022-05-24至2027-05-23,2022-05-24
吉林省,长春市,9122010158621673X8004V,长春城投建设投资（集团）有限公司长春市翟家水质净化厂,污水处理及其再生利用,2023-04-20至2028-04-19,2023-04-20
安徽省,六安市,91341523MA8NME5D9K001V,舒城正源污水处理有限公司,污水处理及其再生利用,2024-03-12至2029-03-11,2024-03-12
贵州省,毕节市,91520524215570326G002Q,织金水务投资建设有限责任公司,污水处理及其再生利用,2024-02-28至2029-02-27,2024-02-28
河南省,安阳市,91410506MA3X9U4H8D001V,安阳永兴源污水净化有限公司,污水处理及其再生利用,2024-03-12至2029-03-11,2024-03-12
江苏省,淮安市,91320804088656169E001Q,江苏淮安农业科技园区发展有限公司,污水处理及其再生利用,2024-03-12至2029-03-11,2024-03-12
